st_teff,dec,pl_rade,pl_eqt,type,Status,pl_insol,st_rad,st_tmag,pl_orbper,ra,st_logg
7166.8,33.049205,15.4416,,TESS,FP,7790.56,1.87,10.4813,2.2219839,301.41088,
5339.9,69.964775,8.76741,1052.0,TESS,CP,203.685,0.99,10.4782,2.3106428,167.821481,4.41
4974.4,33.273702,14.2359,,TESS,FP,,3.85,10.4717,4.05135,291.12047,
6689.0,17.808736,15.6557,1206.0,TESS,PC,351.929,2.06,10.4318,5.5376617,291.707693,3.96
7649.0,15.736136,16.2166,1937.0,TESS,PC,2340.04,2.12,10.4247,4.5960377,293.26832,4.04
8324.0,32.581045,19.3662,2344.0,TESS,KP,5011.92,1.71,10.4219,3.612771,304.800032,4.28
5618.0,61.352572,10.678,1182.0,TESS,CP,324.114,1.54,10.4221,3.6714717,166.880658,4.06
5479.3,-66.358928,12.215808,,TESS,CP,,2.48771,7.1062,11.535076,4.447163,3.77
6105.0,82.952258,6.4875,2345.0,TESS,FP,5021.63,1.24,10.402,0.8352406,222.841424,4.31
3948.0,-14.537283,2.2187585,639.9817426,TESS,CP,39.6452664,0.482388,10.9473,2.4919771,42.2477,4.68962
3773.0,-63.852645,1.710706,448.0162269,TESS,FP,9.5212941,0.577983,8.386,,210.427355,4.438
5742.22,-34.406937,2.9641461,662.8890748,TESS,CP,45.6335702,1.17321,7.9995,25.5195307,168.226736,4.29
6711.0,-60.567675,2.2402361,2222.614552,TESS,PC,5767.367364,1.7756799,8.004,1.3812115,169.119109,4.06358
6090.0,-74.954728,3.5905923,2954.822621,TESS,PC,18015.5142,4.1956,8.3902,2.3922703,127.128017,3.29864
5824.0,-60.200439,1.881684,1999.379666,TESS,FP,3776.609537,1.1512,8.6014,0.831542,180.325704,4.438
6282.0,-64.056009,0.9817044,1418.114438,TESS,PC,955.7979966,1.10743,9.2397,2.6282553,116.594329,4.37809
5626.0,-83.227962,1.7581475,1056.380055,TESS,PC,294.3078003,0.823019,10.5924,3.4239436,30.508742,4.56195
5626.0,-83.227962,2.5070075,716.2888325,TESS,PC,62.2119369,0.823019,10.5924,10.983042,30.508742,4.56195
5626.0,-83.227962,2.261664,610.6445415,TESS,PC,32.8605569,0.823019,10.5924,17.726449,30.508742,4.56195
5914.0,-70.379109,3.2352713,668.3063106,TESS,PC,47.143655,1.55953,9.597,40.7199388,73.541918,3.98
6053.0,-41.815511,15.3936,928.0,TESS,APC,123.522,1.23,9.9358,14.7741056,331.867517,4.3135
5168.33,-73.333516,2.17454,368.0,TESS,FP,3.05331,0.77,11.1762,79.3739596,66.221959,4.60584
5572.9,-73.126759,2.80447,562.0,TESS,PC,16.6472,1.14,9.8135,18.1663644,31.178933,3.83
5909.57,-70.991808,2.5033335,429.5758177,TESS,PC,8.047858,1.1142,10.4016,105.5850893,87.874157,4.26154
6270.0,-67.387472,8.3475973,573.0537137,TESS,FP,25.4860381,0.989667,10.6392,27.2149622,163.198824,4.54537
5262.4,-84.448187,2.4311768,611.0168649,TESS,PC,32.9407734,0.937973,10.0329,19.1807264,285.049519,3.98
